run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,test_sharpe,best_val_metric
topk=21__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,21,return,5.0,1.0,diagSigma,zscore,1.276190738729977,0.2616695000440814
topk=21__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,21,sharpe,20.0,1.0,identity,zscore,1.0335894178116625,0.8423578321037737
topk=21__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,21,utility,10.0,1.0,diagSigma,zscore,0.8944553434178159,0.11511447450611739
topk=24__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,24,return,5.0,1.0,diagSigma,zscore,1.1902716465701308,0.24632913414388896
topk=24__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,24,sharpe,20.0,1.0,identity,zscore,1.1932194987934919,0.9251671858899917
topk=24__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,24,utility,10.0,1.0,diagSigma,zscore,1.1285712585273315,0.09341084150364623
topk=34__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,34,return,5.0,1.0,diagSigma,zscore,1.4582889267350585,0.22076976714888585
topk=34__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,34,sharpe,20.0,1.0,identity,zscore,1.0210878903703622,0.9559375790052469
topk=34__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,34,utility,10.0,1.0,diagSigma,zscore,1.1780915023682532,0.146143811638467
topk=37__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,37,return,5.0,1.0,diagSigma,zscore,0.8565713854169191,0.22953393806237726
topk=37__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,37,sharpe,20.0,1.0,identity,zscore,1.096794934088956,0.8980548625570081
topk=37__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,37,utility,10.0,1.0,diagSigma,zscore,1.0818597361458717,0.020702785393223167
topk=40__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,40,return,5.0,1.0,diagSigma,zscore,0.6991054992443195,0.2472501796146389
topk=40__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,40,sharpe,20.0,1.0,identity,zscore,1.2369747734829664,1.0441753824612767
topk=40__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,40,utility,10.0,1.0,diagSigma,zscore,0.9660522276342972,0.04737873213598505
topk=42__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,42,return,5.0,1.0,diagSigma,zscore,0.5823080670536273,0.20291955820284782
topk=42__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,42,sharpe,20.0,1.0,identity,zscore,1.197675682235478,1.0700165108861814
topk=42__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,42,utility,10.0,1.0,diagSigma,zscore,1.0086116837008485,-0.017912587604951114
topk=47__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,47,return,5.0,1.0,diagSigma,zscore,0.8302460808652653,0.24517361316829922
topk=47__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,47,sharpe,20.0,1.0,identity,zscore,0.8904350793444913,1.0052139190010063
topk=47__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,47,utility,10.0,1.0,diagSigma,zscore,1.1008618662135938,0.20435223577951545
topk=48__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,48,return,5.0,1.0,diagSigma,zscore,0.8213843190365651,0.22647264844272286
topk=48__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,48,sharpe,20.0,1.0,identity,zscore,1.1160565662646902,1.1470461921460948
topk=48__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,48,utility,10.0,1.0,diagSigma,zscore,1.003402654086511,0.02206186132971197
topk=56__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,56,return,5.0,1.0,diagSigma,zscore,1.0964367588701147,0.22376353558211123
topk=56__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,56,sharpe,20.0,1.0,identity,zscore,1.0914680060991002,1.1621163229318763
topk=56__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,56,utility,10.0,1.0,diagSigma,zscore,0.7524195233516191,-0.0005268404813250527
topk=68__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,68,return,5.0,1.0,diagSigma,zscore,0.7327251698004746,0.3006867631542263
topk=68__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,68,sharpe,20.0,1.0,identity,zscore,1.1591746902920572,1.2325153515900296
topk=68__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,68,utility,10.0,1.0,diagSigma,zscore,1.2009357512892413,0.19720439667580647
topk=75__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,75,return,5.0,1.0,diagSigma,zscore,1.1856387701454962,0.3572767009754898
topk=75__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,75,sharpe,20.0,1.0,identity,zscore,1.1814371015680996,1.1991532421324558
topk=75__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,75,utility,10.0,1.0,diagSigma,zscore,0.9952306844701677,-0.008069075393723323
topk=83__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,83,return,5.0,1.0,diagSigma,zscore,0.7387590488252982,0.24010727382265032
topk=83__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,83,sharpe,20.0,1.0,identity,zscore,1.1702783341123952,1.210451909105672
topk=83__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,83,utility,10.0,1.0,diagSigma,zscore,1.2634244707901268,0.12009196904255076
topk=85__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,return,5.0,1.0,diagSigma,zscore,1.198404165521065,0.26988390281330793
topk=85__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,85,sharpe,20.0,1.0,identity,zscore,1.1403996529606983,1.2317658142390866
topk=85__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,utility,10.0,1.0,diagSigma,zscore,0.9627640059130943,0.16302033417159692
topk=86__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,return,5.0,1.0,diagSigma,zscore,1.013157807952156,0.2609566748840735
topk=86__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,86,sharpe,20.0,1.0,identity,zscore,1.0325661856634332,1.2089703266415406
topk=86__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,utility,10.0,1.0,diagSigma,zscore,0.8465353728026536,0.11543650103776598
topk=89__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,return,5.0,1.0,diagSigma,zscore,0.9222478849159059,0.2139764977619052
topk=89__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,89,sharpe,20.0,1.0,identity,zscore,1.1855223313349788,1.2081160874201882
topk=89__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,utility,10.0,1.0,diagSigma,zscore,1.4474681947174695,0.13999264815938658
topk=92__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,return,5.0,1.0,diagSigma,zscore,0.8323138609604979,0.20023762767668815
topk=92__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,92,sharpe,20.0,1.0,identity,zscore,1.1047604023115711,1.2593158092655041
topk=92__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,utility,10.0,1.0,diagSigma,zscore,0.8653424803483957,0.008605336406617425
topk=93__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,93,return,5.0,1.0,diagSigma,zscore,0.48129027888297654,0.2987624500412494
topk=93__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,93,sharpe,20.0,1.0,identity,zscore,1.115281730483069,1.1900584701716719
topk=93__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,93,utility,10.0,1.0,diagSigma,zscore,1.0075765081318329,0.09568515734863468
topk=94__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,94,return,5.0,1.0,diagSigma,zscore,1.030280031129424,0.314929721923545
topk=94__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,94,sharpe,20.0,1.0,identity,zscore,1.1507391873918418,1.2425053200051133
topk=94__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,94,utility,10.0,1.0,diagSigma,zscore,0.7580062061509737,0.08307034224853851
